Nome_Completo,Valor_Total_Declarado
ADENILTON ALVES DE FREITAS,13303.999999999998
GRACIETE BEZERRA DE SOUZA,13150.0
PATRICK PINTO DE SOUZA,13102.41
NIVAN SETUBAL NORONHA,13000.0
FRANCISCO DE ASSIS ALVES DE CASTRO,13000.0
GUSTAVO BOTELHO DE MATOS,12991.949999999999
DANIEL MARTINS DOS SANTOS,12973.65
THIAGO SILVA REIS,12915.0
ATAIDE SOARES RABELO JUNIOR,12900.24
MARCIA GABRIELLE DOS SANTOS XAVIER,12898.6
PATRICK WILLIAM LEÃO,12868.0
KENYA ROSA,12857.14
AUDILEIA DO CARMO SILVA,12857.14
THIAGO BARROS SÁ,12850.0
PAULO RAIMUNDO EVANGELISTA DE MACEDO,12830.78
MARLUCIA RODRIGUES DOS SANTOS,12824.45
RICARDO LUIZ AMARAL SANTOS,12820.9
IRENE LEITE FERREIRA,12818.390000000003
MARIA OCINEIDE DA SILVA MARTINI,12814.45
ROSELUCE MARIA OLIVEIRA COSTA,12800.35
RAIMUNDO PEREIRA SILVA,12800.0
LEONICE DE OLIVEIRA,12740.58
MARIA CLEIA AIRES FERREIRA,12700.0
MARIA DA GLORIA LACERDA MAIA,12655.96
JACKELLINGTON GONCALVES LIMA DE OLIVEIRA,12654.0
RUBINALDO BEGOT DA SILVA,12647.56
ANTONIO NETO PEREIRA DE SOUSA,12584.359999999999
EMERSON DAS GRAÇAS VALADARES,12582.58
HÉLIO DE ALMEIDA MONTEIRO,12521.470000000001
MARCILEIA FARIAS DA COSTA,12511.2
TANIA MARIA RAMOS ZAMMATARO,12511.150000000001
HUGO FERNANDO DE SOUZA ATAYDE,12500.0
LUIZ FERNANDO SADECK DOS SANTOS,12481.350000000002
MARIA DO SOCORRO RODRIGUES DO CARMO,12479.36
ALEXANDRE RAIMUNDO DE VASCONCELOS WANGHON,12447.58
MARIA ROZILDA DA SILVA RIBEIRO,12436.75
KAIO DA SILVA LUCENA,12414.800000000001
MARIA ANTONIA SOUSA DE OLIVEIRA,12365.9
IVANA OLIVEIRA CORREIA ANDRADE,12357.7
MARIA OLINDA LIMA LUZ,12344.6
MILTON NILO PELOSO DA SILVA,12330.25
ADEMIR BITENCOURT AZEVEDO,12316.57
MANOEL DE JESUS LOBATO MADURO,12300.0
MARIA JOSÉ DOS SANTOS CAVALCANTE,12290.0
MARGARIDA COSTA PARENTE,12200.0
MÁRIO ITIYA VIEIRA KOBAYASHI,12187.2
MANOEL XIMENES ARAUJO,12150.94
ANDREY WILSON CARDOSO BATISTA,12139.7
DEVALDO SOARES SOUZA,12137.98
IVANITI JOSÉ DA SILVA,12115.5
ANTONIO CARLOS DE SOUSA,12100.0
CELENE LIMA DOS SANTOS,12083.05
RAIMUNDO DO SOCORRO LAMEIRA DA SILVA,12037.9
ALEXANDRE CARDOSO FONSECA DE LIMA,12014.0
SEBASTIÃO CONCEIÇÃO MARTINS,12004.270000000002
MARIA BERNADETE SANTOS DE OLIVEIRA,12000.000000000002
RAFAEL LUIZ MILEO VIANA,12000.0
ISAMARC BENTES SOARES,12000.0
NICELENA RUFFEIL DA SILVA,12000.0
FERNANDO RODRIGUES ALCANTARA,12000.0
FABRICIO DA COSTA MODESTO,12000.0
FABIO RONAN SOUZA SANTOS,12000.0
DALILA TEIXEIRA VEIGA DE OLIVEIRA,12000.0
ROBSON CARNEIRO QUEIRÓS,11993.440000000004
JOSE LUIZ PANTOJA MORAES,11990.0
RODVALDO RAIMUNDO RODRIGUES CHAVES,11972.0
GELCINEY MATOS DE CARVALHO,11930.0
ALAN MARTINS DIAS,11921.35
AGUINALDO DIAS DA SILVA,11904.699999999999
ISADILVA VIEIRA DE CASTRO,11898.600000000006
NAIARA RAIOL TORRES,11893.6
DANILO SENA MARCIÃO,11875.73
ANTÔNIO FERREIRA FELIX JÚNIOR,11868.500000000002
ANA CELIA SANTOS ARAUJO,11850.0
CACILDA ROSA DA SILVA,11839.8
ANTONIO CARDOSO MARQUES,11832.55
ILTOMAR CARVALHO DOS SANTOS,11800.0
EVALDO LIMA MACHADO,11778.5
ROSIVALDO DOS SANTOS MONTEIRO,11761.8
JOSÉ AFONSO SILVA SARGES ROCHA,11744.6
LÍDIA COSTA TEIXEIRA,11725.869999999999
ANDREA DO SOCORRO FERREIRA DA SILVA,11700.0
EBE DA COSTA POTIGUAR LIMA,11700.0
ROSIMAR POSSIDONIO DO NASCIMENTO,11662.2
GERSON CARNEIRO DA SILVA,11655.100000000002
JOSE MARIA DE SOUSA DINELLY,11645.0
LUCIA CONCEICAO ANJOS DO NASCIMENTO,11635.0
JOSE ERASMO MAIA COSTA,11629.9
JOSÉ PAULO DE LIRA JUNIOR,11624.9
GLEIDSON CÉSAR MIRANDA SILVA,11594.27
BENEDITO SIQUEIRA NUNES,11594.27
